"","HbTrop","HbTemp"
"Zm00001d002319",0.390539116238864,0.89505146739952
"Zm00001d002323",0.242525263596876,0.454654646643581
"Zm00001d002325",0,0.000798849870475987
"Zm00001d002326",0.159410813234248,0.128233525182727
"Zm00001d002330",0.480765328509459,0.26481684205822
"Zm00001d002332",0.771571760476912,0.68246868028587
"Zm00001d002333",0.746235421701398,0.602597078599917
"Zm00001d002334",0.494464459048363,0.307944769877145
"Zm00001d002336",0.514183850351237,0
"Zm00001d002338",0.206188383261259,0.451867004423512
"Zm00001d002339",0,0.133073597222536
"Zm00001d002340",0.530584473196388,0.203916139392227
"Zm00001d002341",0.34405138965436,0.57095188875427
"Zm00001d002342",0.359710461333619,0.525708339176049
"Zm00001d002343",0.134179468128211,0.460298301433343
"Zm00001d002344",0.245449384627374,0.194313041262589
"Zm00001d002345",0.509501601885281,0.200157412436547
"Zm00001d002347",0.425364170947617,0.632868743654616
"Zm00001d002348",0.405347149680741,0.327345555467312
"Zm00001d002349",0.356956246925592,0.228745801909634
"Zm00001d002352",0.662530623638618,0.292441330300809
"Zm00001d002353",0.453433218963333,0.62240768659352
"Zm00001d002356",0.101473290222789,0.392770277077823
"Zm00001d002357",0.504516607520153,0.689509185441071
"Zm00001d002358",0,0.00416452381972468
"Zm00001d002359",0,0.103962346377594
"Zm00001d002364",0,0
"Zm00001d002366",0.766747246131812,0.842812397862786
"Zm00001d002369",0.439327565645734,0.575480952826684
"Zm00001d002370",0.229646308547442,0.484991153309042
"Zm00001d002371",0,0.563041936892549
"Zm00001d002373",0.133175989587639,0.426971318034729
"Zm00001d002374",0.0411896675281019,0.113062381102489
"Zm00001d002377",0.679523833573829,0.655873978770356
"Zm00001d002381",0.562521501744873,0.817583426312025
"Zm00001d002382",0.569515996538648,0.368872938366193
"Zm00001d002384",0.484370005353022,0.677663799129311
"Zm00001d002385",0.597116209468844,0.758834242921665
"Zm00001d002386",0,0.46121287207294
"Zm00001d002387",0,0.589438200530643
"Zm00001d002388",0.475361792928184,0.0626605573653958
"Zm00001d002390",0.915860160987993,0.403335896437558
"Zm00001d002391",0.49298677182242,0.541886611087016
"Zm00001d002395",0,0.344722944400924
"Zm00001d002396",0.36566075425658,0.548233240351176
"Zm00001d002399",0.337204901584,0.145293086298627
"Zm00001d002402",0.28922245712654,0.144116465151753
"Zm00001d002403",0.521309203836087,0.165271498327915
"Zm00001d002405",0.0130885926317539,0
"Zm00001d002406",0.559480013233328,0.306793451275616
"Zm00001d002408",0.52175059978054,0.75116451244949
"Zm00001d002409",0.731516408604767,0.7225996471236
"Zm00001d002410",6.57621741077642e-15,0
"Zm00001d002412",0.0994290117283728,0.276306208935989
"Zm00001d002415",0.19534664376352,0.432175501228172
"Zm00001d002416",0.404973825218809,0.639545262773143
"Zm00001d002418",0.580564332062196,0.0151632554262596
"Zm00001d002419",0.342701099098473,0
"Zm00001d002420",0.49611153800663,0.343597046320717
"Zm00001d002422",0.557776383932844,0.411289848660106
"Zm00001d002423",0.418479328360816,0.406731914199475
"Zm00001d002426",0.228048698557566,0.552600458649568
"Zm00001d002428",0.240451810719346,0.399681639546924
"Zm00001d002433",0,0.198021672944081
"Zm00001d002435",0.111022430541857,0.12978308418092
"Zm00001d002436",0.479667665213365,0.0519554934239947
"Zm00001d002440",0.363692930329563,0.20151046821136
"Zm00001d002446",0.716651732839456,0.592326471143574
"Zm00001d002450",0,0.344374615771387
"Zm00001d002451",0.575683216438225,0.71916627142484
"Zm00001d002452",0,0.278636197264849
"Zm00001d002456",0.106243215822543,0.204212604543082
"Zm00001d002462",0.474791778841726,0.683410994687535
"Zm00001d002465",0.850968658211836,0.822551407893765
"Zm00001d002475",0.559268912204262,0.659197886654707
"Zm00001d002476",0,0.520460632012883
"Zm00001d002478",0.389714547696163,0.435270452344978
"Zm00001d002479",0.915281842650185,0.670309000132452
"Zm00001d002483",0.13646623029118,0.478943731806131
"Zm00001d002485",0.051674042179349,0.29696846923774
"Zm00001d002489",0.0477726587784323,0.601240478433678
"Zm00001d002490",0.862534919458937,0.754955939606763
